id,class
0,0
1,0
2,0
3,1
4,0
5,0
6,0
7,0
8,1
9,1
10,0
11,0
12,1
13,0
14,1
15,1
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,1
25,0
26,0
27,0
28,1
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,1
40,1
41,1
42,0
43,0
44,0
45,0
46,0
47,1
48,1
49,0
50,0
51,0
52,1
53,1
54,1
55,0
56,0
57,1
58,1
59,1
60,1
61,0
62,0
63,1
64,1
65,0
66,0
67,0
68,1
69,1
70,0
71,0
72,0
73,1
74,0
75,0
76,1
77,0
78,1
79,0
80,0
81,0
82,1
83,0
84,1
85,1
86,0
87,0
88,0
89,0
90,1
91,0
92,0
93,0
94,1
95,0
96,0
97,0
98,1
99,0
100,0
101,0
102,0
103,1
104,0
105,0
106,1
107,0
108,1
109,0
110,0
111,1
112,0
113,0
114,0
115,1
116,0
117,0
118,1
119,0
120,0
121,1
122,0
123,0
124,1
125,0
126,0
127,0
128,0
129,0
130,1
131,0
132,0
133,0
134,1
135,0
136,0
137,0
138,1
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,1
147,0
148,0
149,1
150,0
151,0
152,1
153,0
154,0
155,1
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,1
166,0
167,1
168,0
169,1
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,1
178,0
179,0
180,1
181,1
182,0
183,1
184,0
185,0
186,1
187,1
188,0
189,1
190,1
191,1
192,1
193,1
194,0
195,1
196,0
197,0
198,0
199,1
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,1
211,1
212,1
213,1
214,0
215,0
216,0
217,0
218,1
219,0
220,1
221,0
222,1
223,0
224,1
225,1
226,1
227,1
228,1
229,0
230,0
231,1
232,1
233,1
234,1
235,0
236,1
237,1
238,1
239,0
240,1
241,0
242,1
243,0
244,1
245,1
246,1
247,0
248,0
249,0
250,0
251,0
252,1
253,0
254,0
255,1
256,0
257,0
258,0
259,0
260,0
261,1
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,1
271,0
272,1
273,0
274,1
275,0
276,0
277,0
278,0
279,1
280,0
281,0
282,0
283,0
284,1
285,0
286,0
287,0
288,1
289,0
290,1
291,1
292,0
293,0
294,0
295,0
296,1
297,0
298,0
299,1
300,0
301,0
302,0
303,1
304,1
305,1
306,0
307,0
308,0
309,0
310,0
311,0
312,1
313,1
314,1
315,1
316,0
317,0
318,1
319,0
320,1
321,0
322,0
323,0
324,1
325,0
326,1
327,0
328,0
329,1
330,0
331,0
332,0
333,0
334,0
335,0
336,1
337,0
338,0
339,0
340,0
341,0
342,1
343,0
344,0
345,1
346,1
347,0
348,0
349,0
350,1
351,0
352,1
353,0
354,0
355,0
356,0
357,1
358,1
359,1
360,1
361,0
362,0
363,0
364,1
365,0
366,0
367,0
368,1
369,0
370,0
371,0
372,0
373,0
374,0
375,0
376,1
377,0
378,1
379,1
380,1
381,1
382,1
383,1
384,0
385,0
386,0
387,0
388,0
389,1
390,1
391,0
392,0
393,0
394,0
395,1
396,0
397,0
398,1
399,0
400,1
401,0
402,0
403,0
404,1
405,1
406,0
407,0
408,0
409,0
410,0
411,1
412,0
413,1
414,0
415,0
416,0
417,0
418,0
419,1
420,1
421,0
422,0
423,1
424,1
425,0
426,0
427,0
428,0
429,0
430,1
431,1
432,0
433,0
434,1
435,0
436,0
437,1
438,0
439,0
440,0
441,0
442,0
443,0
444,0
445,0
446,0
447,1
448,0
449,0
450,1
451,1
452,1
453,0
454,1
455,1
456,1
457,1
458,0
459,0
460,1
461,0
462,1
463,1
464,1
465,0
466,1
467,0
468,0
469,0
470,0
471,0
472,1
473,0
474,0
475,1
476,0
477,0
478,1
479,0
480,1
481,0
482,1
483,0
484,0
485,1
486,0
487,0
488,0
489,0
490,1
491,1
492,1
493,0
494,0
495,0
496,0
497,1
498,0
499,1
500,0
501,0
502,0
503,0
504,0
505,1
506,0
507,0
508,0
509,0
510,0
511,0
512,0
513,0
514,1
515,1
516,0
517,1
518,0
519,1
520,0
521,0
522,1
523,1
524,0
525,1
526,0
527,1
528,1
529,1
530,0
531,0
532,0
